title,authors,nc_state_people,DOI,year,topics,nc_authors,unity_ids
Influence of oxygen source on the ferroelectric properties of ALD grown Hf<sub>1-x</sub>Zr<sub>x</sub>O<sub>2</sub> films,"Alcala, Ruben; Richter, Claudia; Materano, Monica; Lomenzo, Patrick D; Zhou, Chuanzhen; Jones, Jacob L; Mikolajick, Thomas; Schroeder, Uwe",Chuanzhen Zhou (czhou); Jacob Jones (jljone21),10.1088/1361-6463/abbc98,2020,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Zhou, Chuanzhen; Jones, Jacob",czhou; jljone21
Measuring plasma-generated center dot OH and O atoms in liquid using EPR spectroscopy and the non-selectivity of the HTA assay,"Myers, B.; Ranieri, P.; Smirnova, T.; Hewitt, P.; Peterson, D.; Quesada, M. Herrera; Lenker, E.; Stapelmann, K.",Katharina Stapelmann (kstapel); Brayden Myers (bgmyers3); Pietro Ranieri (pjranier); Tatyana Smirnova (tismirno); Patrick Hewitt (phewitt); David J. Peterson (djpeter5); Maria Herrera Quesada (mjherrer); Elle Lenker (eelenke2),10.1088/1361-6463/abd9a6,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Myers, Brayden; Ranieri, Pietro; Smirnova, Tatyana; Hewitt, Patrick; Peterson, David J.; Quesada, Maria Herrera; Lenker, Elle",kstapel; bgmyers3; pjranier; tismirno; phewitt; djpeter5; mjherrer; eelenke2
Following O and OH in He/O-2 and He/H2O gas mixtures-from the gas phase through the liquid phase to modifications on a biological sample,"Stapelmann, Katharina; Myers, Brayden; Quesada, Maria Herrera; Lenker, Eleanor; Ranieri, Pietro J.",Katharina Stapelmann (kstapel); Brayden Myers (bgmyers3); Pietro Ranieri (pjranier),10.1088/1361-6463/ac18ec,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Myers, Brayden; Ranieri, Pietro",kstapel; bgmyers3; pjranier
Atomic oxygen density determination in the effluent of the COST reference source using in situ effective lifetime measurements in the presence of a liquid interface,"Myers, Brayden; Barnat, Edward; Stapelmann, Katharina",Katharina Stapelmann (kstapel); Brayden Myers (bgmyers3),10.1088/1361-6463/ac1cb5,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Myers, Brayden",kstapel; bgmyers3
Plasma breakdown in bubbles passing between two pin electrodes,"Pillai, Naveen; Sponsel, Nicholas L.; Mast, J. T.; Kushner, Mark J.; Bolotnov, Igor A.; Stapelmann, Katharina",Katharina Stapelmann (kstapel); Nicholas Sponsel (nlsponse); Igor Bolotnov (iabolotn); JT Mast (jtmast),10.1088/1361-6463/ac9538,2022,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Sponsel, Nicholas; Bolotnov, Igor; Mast, JT",kstapel; nlsponse; iabolotn; jtmast
Reaction mechanism for atmospheric pressure plasma treatment of cysteine in solution,"Polito, Jordyn; Quesada, Maria J. Herrera; Stapelmann, Katharina; Kushner, Mark J.",Katharina Stapelmann (kstapel),10.1088/1361-6463/ace196,2023,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina",kstapel
Electrical breakdown dynamics in an argon bubble submerged in conductive liquid for nanosecond pulsed discharges,"Sponsel, Nicholas L.; Gershman, Sophia; Stapelmann, Katharina",Katharina Stapelmann (kstapel); Nicholas Sponsel (nlsponse),10.1088/1361-6463/acfb1b,2023,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Sponsel, Nicholas",kstapel; nlsponse
Estimation of mean electron energy in helium surface ionization waves on dielectric substrates,"Morsell, Joshua; Dechant, Corey; Gall, Grayson; Trosan, Duncan; Lietz, Amanda M.; Stapelmann, Katharina; Shannon, Steven",Katharina Stapelmann (kstapel); Steven Shannon (scshanno); Amanda Lietz (alietz); Corey DeChant (csdechan); Grayson Gall (gsgall); Duncan Trosan (dptrosan); Josh Morsell (jkmorsel),10.1088/1361-6463/ad5451,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina; Shannon, Steven; Lietz, Amanda; DeChant, Corey; Gall, Grayson; Trosan, Duncan; Morsell, Josh",kstapel; scshanno; alietz; csdechan; gsgall; dptrosan; jkmorsel
"Two-dimensional mapping of absolute OH densities in an atmospheric pressure plasma effluent via planar laser-induced fluorescence: effects of He/H2O and He/O2 mixtures in N2 and air, with and without solid targets","Quesada, María J Herrera; Pfaff, Sebastian; Polito, Jordyn; Gall, Grayson; Kushner, Mark J; Frank, Jonathan H; Stapelmann, Katharina",Katharina Stapelmann (kstapel),10.1088/1361-6463/adc13a,2025,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina",kstapel
Interrogation of a spectral profile division multiplexed FBG sensor network using a modified particle swarm optimization method,"Guo, Guodong; Hackney, Drew; Pankow, Mark; Peters, Kara",Guodong Guo (gguo2); Drew A. Hackney (dahackne); Mark Pankow (mrpankow); Kara Peters (kjpeters),10.1088/1361-6501/aa637f,2017,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Guo, Guodong; Hackney, Drew A.; Pankow, Mark; Peters, Kara",gguo2; dahackne; mrpankow; kjpeters
Announcing the 2016 Measurement Science and Technology Outstanding Paper Awards,"Foss, John; Peters, Kara; Yang, Wuqiang",Kara Peters (kjpeters),10.1088/1361-6501/aa726e,2017,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
"High-speed polarized light microscopy for in situ, dynamic measurement of birefringence properties","Wu, Xianyu; Pankow, Mark; Shadow Huang, Hsiao-Ying; Peters, Kara",Hsiao-Ying Shadow Huang (hshuang); Kara Peters (kjpeters),10.1088/1361-6501/aa9084,2017,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Huang, Hsiao-Ying Shadow; Peters, Kara",hshuang; kjpeters
Announcing the 2017 Measurement Science and Technology Outstanding Paper Awards,"Peters, Kara; Jakoby, Bernhard; Myers, John; Yang, Wuqiang; Foss, John; Fansler, Todd; Yacoot, Andrew",Kara Peters (kjpeters),10.1088/1361-6501/aacf51,2018,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
Announcing the 2019 Measurement Science and Technology Outstanding Paper Awards,"Yang, Wuqiang; Peters, Kara; Christensen, Kenneth; Jakoby, Bernhard; Morris, Scott; Yacoot, Andrew; Iakovidis, Dimitris",Kara Peters (kjpeters),10.1088/1361-6501/ab7efb,2020,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
Announcing the 2020 Measurement Science and Technology outstanding paper awards,"Discetti, Stefano; Peters, Kara; Yacoot, Andrew",Kara Peters (kjpeters),10.1088/1361-6501/abfc84,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
Self-referencing ultrasound detection of fiber Bragg grating sensor with two adhesive bonds,"Wee, Junghyun; Alexander, Kevin; Peters, Kara",Junghyun Wee (jwee); Kara Peters (kjpeters),10.1088/1361-6501/ac065c,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Wee, Junghyun; Peters, Kara",jwee; kjpeters
Ultrasonic frequency response of fiber Bragg grating under direct and remote adhesive bonding configurations,"Navratil, Andrew; Wee, Junghyun; Peters, Kara",Junghyun Wee (jwee); Kara Peters (kjpeters),10.1088/1361-6501/ac2fea,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Wee, Junghyun; Peters, Kara",jwee; kjpeters
Special feature on measurement-based decision making in structural health monitoring,"Laflamme, Simon; Peters, Kara; Ubertini, Filippo",Kara Peters (kjpeters),10.1088/1361-6501/aca3c4,2022,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
Remote bonding of fiber Bragg grating sensors for Lamb wave measurements: a review,"Peters, Kara",Kara Peters (kjpeters),10.1088/1361-6501/adafca,2025,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara",kjpeters
Effect of ferroelectric and interface films on the tunneling electroresistance of the Al<sub>2</sub>O<sub>3</sub>/Hf<sub>0.5</sub>Zr<sub>0.5</sub>O<sub>2</sub> based ferroelectric tunnel junctions,"Shekhawat, Aniruddh; Hsain, H Alex; Lee, Younghwan; Jones, Jacob L; Moghaddam, Saeed",Jacob Jones (jljone21); Young Hwan Lee (ylee22),10.1088/1361-6528/ac1ebe,2021,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Jones, Jacob; Lee, Young Hwan",jljone21; ylee22
Reduced fatigue and leakage of ferroelectric TiN/Hf<sub>0.5</sub>Zr<sub>0.5</sub>O<sub>2</sub>/TiN capacitors by thin alumina interlayers at the top or bottom interface,"Hsain, H Alex; Lee, Younghwan; Lancaster, Suzanne; Lomenzo, Patrick D; Xu, Bohan; Mikolajick, Thomas; Schroeder, Uwe; Parsons, Gregory N; Jones, Jacob L",Gregory Parsons (gnp); Jacob Jones (jljone21); Hanan Hsain (hahsain),10.1088/1361-6528/acad0a,2022,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Parsons, Gregory; Jones, Jacob; Hsain, Hanan",gnp; jljone21; hahsain
Foundations of plasma standards,"Alves, Luis L.; Becker, Markus M.; Dijk, Jan; Gans, Timo; Go, David B.; Stapelmann, Katharina; Tennyson, Jonathan; Turner, Miles M.; Kushner, Mark J.",Katharina Stapelmann (kstapel),10.1088/1361-6595/acb810,2023,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina",kstapel
Plasma surface ionization wave interactions with single channels,"Morsell, Joshua; Trosan, Duncan; Stapelmann, Katharina; Shannon, Steven",Steven Shannon (scshanno); Katharina Stapelmann (kstapel); Josh Morsell (jkmorsel); Duncan Trosan (dptrosan),10.1088/1361-6595/acf9c9,2023,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Shannon, Steven; Stapelmann, Katharina; Morsell, Josh; Trosan, Duncan",scshanno; kstapel; jkmorsel; dptrosan
The study of radiation effects in emerging micro and nano electro mechanical systems (M and NEMs),"Arutt, Charles N; Alles, Michael L; Liao, Wenjun; Gong, Huiqi; Davidson, Jim L; Schrimpf, Ronald D; Reed, Robert A; Weller, Robert A; Bolotin, Kirill; Nicholl, Ryan; Pham, Thang Toan; Zettl, Alex; Qingyang, Du; Hu, Juejun; Li, Mo; Alphenaar, Bruce W; Lin, Ji-Tzuoh; Shurva, Pranoy Deb; McNamara, Shamus; Walsh, Kevin M; Feng, Philip X-L; Hutin, Louis; Ernst, Thomas; Homeijer, Brian D; Polcawich, Ronald G; Proie, Robert M; Jones, Jacob L; Glaser, Evan R; Cress, Cory D; Bassiri-Gharb, Nazanin",Jacob Jones (jljone21),10.1088/1361-6641/32/1/013005,2016,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Jones, Jacob",jljone21
Simulating increased Lamb wave detection sensitivity of surface bonded fiber Bragg grating,"Wee, J.; Hackney, D. A.; Bradford, P. D.; Peters, K. J.",Junghyun Wee (jwee); Drew A. Hackney (dahackne); Kara Peters (kjpeters); Philip Bradford (pdbradfo),10.1088/1361-665x/aa646b,2017,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Wee, Junghyun; Hackney, Drew A.; Peters, Kara; Bradford, Philip",jwee; dahackne; kjpeters; pdbradfo
Shape reconstruction of woven fabrics using fiber bragg grating strain sensors,"Guo, Guodong; Hackney, Drew; Pankow, Mark; Peters, Kara",Guodong Guo (gguo2); Mark Pankow (mrpankow); Kara Peters (kjpeters); Drew A. Hackney (dahackne),10.1088/1361-665X/ab4ba3,2019,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Guo, Guodong; Pankow, Mark; Peters, Kara; Hackney, Drew A.",gguo2; mrpankow; kjpeters; dahackne
Dynamic measurement of ballistic impact using an optical fibre sensor,"Velasco, Ivann; Seng, Frederick; Hodges, Greyson; Peters, Kara; Pankow, Mark; Schultz, Stephen",Greyson Hodges (gjhodges); Kara Peters (kjpeters); Mark Pankow (mrpankow),10.1088/1361-665X/ad27fd,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Hodges, Greyson; Peters, Kara; Pankow, Mark",gjhodges; kjpeters; mrpankow
Optimizing the energy balance to achieve autonomous self-powering for vigilant health and IoT applications,"Misra, Veena; Bozkurt, Alper; Calhoun, Benton H.; Datta, Suman; Dickey, Michael; Kiani, Mehdi; Lach, John; Lee, Bongmook; Jur, Jesse; Oralkan, Omer; Ozturk, Mehmet; Rajagopalan, Ram; Roundy, Shad; Strohmaier, Jason; Trolier-McKinstry, Susan; Vashaee, Daryoosh; Wentzloff, David; Werner, Doug",Veena Misra (vmisra),10.1088/1742-6596/1407/1/012001,2019,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Misra, Veena",vmisra
Design and demonstration of a seabird-inspired fixed-wing hybrid UAV-UUV system,"Stewart, William; Weisler, Warren; MacLeod, Marc; Powers, Thomas; Defreitas, Aaron; Gritter, Richard; Anderson, Mark; Peters, Kara; Gopalarathnam, Ashok; Bryant, Matthew; , al.",Kara Peters (kjpeters); William Stewart (wjstewa2); Matthew Bryant (mbryant),10.1088/1748-3190/aad48b,2018,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Peters, Kara; Stewart, William; Bryant, Matthew",kjpeters; wjstewa2; mbryant
A retrospective study of the 2012-2016 California drought and its impacts on the power sector,"Kern, Jordan D.; Su, Yufei; Hill, Joy",Jordan Kern (jkern),10.1088/1748-9326/ab9db1,2020,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Kern, Jordan",jkern
Aboveground carbon loss associated with the spread of ghost forests as sea levels rise,"Smart, Lindsey S.; Taillie, Paul J.; Poulter, Benjamin; Vukomanovic, Jelena; Singh, Kunwar K.; Swenson, Jennifer J.; Mitasova, Helena; Smith, Jordan W.; Meentemeyer, Ross K.",Lindsey Smart (lssmart); Jelena Vukomanovic (jvukoma); Helena Mitasova (hmitaso); Jordan Smith (jwsmit12); Ross Meentemeyer (rkmeente); Paul J. Taillie (pjtaillie); Kunwar K. V. Singh (kksingh),10.1088/1748-9326/aba136,2020,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Smart, Lindsey; Vukomanovic, Jelena; Mitasova, Helena; Smith, Jordan; Meentemeyer, Ross; Taillie, Paul J.; Singh, Kunwar K. V.",lssmart; jvukoma; hmitaso; jwsmit12; rkmeente; pjtaillie; kksingh
Predicting flood damage probability across the conterminous United States,"Collins, Elyssa L.; Sanchez, Georgina M.; Terando, Adam; Stillwell, Charles C.; Mitasova, Helena; Sebastian, Antonia; Meentemeyer, Ross K.",Helena Mitasova (hmitaso); Georgina Sanchez (gmsanche); Elyssa Collins (ecollin); Adam Terando (ajterand); Charles Stillwell (ccstillw); Ross Meentemeyer (rkmeente),10.1088/1748-9326/ac4f0f,2022,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Mitasova, Helena; Sanchez, Georgina; Collins, Elyssa; Terando, Adam; Stillwell, Charles; Meentemeyer, Ross",hmitaso; gmsanche; ecollin; ajterand; ccstillw; rkmeente
Gaps in US livestock data are a barrier to effective environmental and disease management,"Logsdon Muenich, Rebecca; Aryal, Sanskriti; Ashworth, Amanda J.; Bell, Michelle L.; Boudreau, Melanie R.; Cunningham, Stephanie A.; Flynn, K. Colton; Hamilton, Kerry A.; Liu, Ting; Mashtare, Michael L.; Nelson, Natalie G.; Rashid, Barira; Saha, Arghajeet; Schaffer-Smith, Danica; Showalter, Callie; Tchamdja, Aureliane; Thompson, Jada",Natalie Nelson (nnelson4),10.1088/1748-9326/adb050,2025,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Nelson, Natalie",nnelson4
Label free process monitoring of 3D bioprinted engineered constructs via dielectric impedance spectroscopy,"Narayanan, Lokesh Karthik; Thompson, Trevor L.; Shirwaiker, Rohan A.; Starly, Binil",Lokesh K. Narayanan (lnaraya); Trevor Thompson (tlthomp8); Rohan Shirwaiker (rashirwa); Binil Starly (bstarly),10.1088/1758-5090/aaccbf,2018,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Narayanan, Lokesh K.; Thompson, Trevor; Shirwaiker, Rohan; Starly, Binil",lnaraya; tlthomp8; rashirwa; bstarly
Ultrasound-assisted biofabrication and bioprinting of preferentially aligned three-dimensional cellular constructs,"Chansoria, Parth; Narayanan, Lokesh Karthik; Schuchard, Karl; Shirwaiker, Rohan",Rohan Shirwaiker (rashirwa); Lokesh K. Narayanan (lnaraya),10.1088/1758-5090/ab15cf,2019,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Shirwaiker, Rohan; Narayanan, Lokesh K.",rashirwa; lnaraya
Crystallographic and magnetic investigations of textured bismuth ferrite lead titanate layers,"Palizdar, Meghdad; Fancher, Chris M; Mallick, Dhiman; Maity, Tuhin; Roy, Saibal; Jones, Jacob L; Comyn, Tim P; Suvaci, Ender; Bell, Andrew J",Jacob Jones (jljone21),10.1088/2053-1591/aae0a9,2018,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Jones, Jacob",jljone21
Ultrasonic Lamb wave measurement sensitivity of aligned carbon nanotube coated fiber Bragg grating,"Wee, Junghyun; Hackney, Drew; Wells, Brian; Bradford, Philip D.; Peters, Kara",Junghyun Wee (jwee); Philip Bradford (pdbradfo); Kara Peters (kjpeters); Drew A. Hackney (dahackne); Brian D. Wells (bdwells),10.1088/2515-7647/ab525e,2019,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Wee, Junghyun; Bradford, Philip; Peters, Kara; Hackney, Drew A.; Wells, Brian D.",jwee; pdbradfo; kjpeters; dahackne; bdwells
"Molecular NMR shieldings, <i>J</i>-couplings, and magnetizabilities from numeric atom-centered orbital based density-functional calculations","Laasner, Raul; Mandzhieva, Iuliia; Huhn, William P.; Colell, Johannes; Yu, Victor Wen-zhe; Warren, Warren S.; Theis, Thomas; Blum, Volker",Thomas Theis (ttheis); Iuliia Mandzhieva (imandzh),10.1088/2516-1075/ad45d4,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Theis, Thomas; Mandzhieva, Iuliia",ttheis; imandzh
Researchers must address regulatory regimes to scale up adoption of urine diversion systems in the US,"Merck, Ashton; Grieger, Khara; Crane, Lucas; Boyer, Treavor",Khara Grieger (kdgriege); Ashton Merck (awmerck),10.1088/2634-4505/ad59c3,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Grieger, Khara; Merck, Ashton",kdgriege; awmerck
An open-source framework for balancing computational speed and fidelity in production cost models,"Akdemir, Kerem Ziya; Oikonomou, Konstantinos; Kern, Jordan D; Voisin, Nathalie; Ssembatya, Henry; Qian, Jingwei",Henry Ssembatya (hssemba); Jordan Kern (jkern),10.1088/2753-3751/ad1751,2023,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Ssembatya, Henry; Kern, Jordan",hssemba; jkern
"High-resolution, open-source modeling of inland flooding impacts on the North Carolina bulk electric power grid","Prieto-Miranda, Luis; Kern, Jordan D",Luis Prieto Miranda (lprieto); Jordan Kern (jkern),10.1088/2753-3751/ad3558,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Miranda, Luis Prieto; Kern, Jordan",lprieto; jkern
Exploring the benefits of integrated energy-water management in reducing economic and environmental tradeoffs,"Singh, Samarth; Quinn, Julianne; Kern, Jordan; Cuppari, Rosa; Characklis, Greg",Jordan Kern (jkern),10.1088/2753-3751/ad713d,2024,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Kern, Jordan",jkern
Comparing Spore Resistance of Bacillus Strains Isolated from Hydrothermal Vents and Spacecraft Assembly Facilities to Environmental Stressors and Decontamination Treatments,"Zammuto, Vincenzo; Fuchs, Felix M.; Fiebrandt, Marcel; Stapelmann, Katharina; Ulrich, Nikea J.; Maugeri, Teresa L.; Pukall, Rüdiger; Gugliandolo, Concetta; Moeller, Ralf",Katharina Stapelmann (kstapel),10.1089/ast.2017.1715,2018,"breeding; microbes; Agtech; conservation; regenerative ag; precision ag; proteomics; modeling; sustainable ag; imaging; digital ag; society; community; Genetics; genomics; soil; science communication; policy; CPS; fungi; Ecology; CRISPR; sensors; automation; sensing; pathology; extension","Stapelmann, Katharina",kstapel
