title,authors,nc_state_people,DOI,year,topics,nc_authors,unity_ids
Hydration Sensing: A Wearable Hydration Sensor with Conformal Nanowire Electrodes (Adv. Healthcare Mater. 6/2017),"Yao, Shanshan; Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong",Amanda Mills (acmyers3); Abhishek Malhotra (amalhot); Alper Bozkurt (aybozkur); John Muth (muth); Shanshan Yao (syao2); Yong Zhu (yzhu7),10.1002/adhm.201770031,2017,"microbes; Agtech; robotics; gene expression; regenerative ag; precision ag; proteomics; modeling; synthetic biology; sustainable ag; digital twin; imaging; community; Genetics; soil; genomics; science communication; food systems; Ecology; CRISPR; materials engineering; computer vision; sensors; digital twins; automation; IoT; renewable energy; sensing; pathology","Mills, Amanda; Malhotra, Abhishek; Bozkurt, Alper; Muth, John; Yao, Shanshan; Zhu, Yong",acmyers3; amalhot; aybozkur; muth; syao2; yzhu7
Ultrasound-Powered Implants: A Critical Review of Piezoelectric Material Selection and Applications,"Turner, Brendan L.; Senevirathne, Seedevi; Kilgour, Katie; McArt, Darragh; Biggs, Manus; Menegatti, Stefano; Daniele, Michael A.",Brendan Turner (blturne5); Katie Kilgour (kmkilgou); Stefano Menegatti (smenega); Michael Daniele (mdaniel6),10.1002/adhm.202100986,2021,"materials engineering; science communication; Agtech; renewable energy; sustainable ag; IoT; digital twin; imaging; regenerative ag; sensing","Turner, Brendan; Kilgour, Katie; Menegatti, Stefano; Daniele, Michael",blturne5; kmkilgou; smenega; mdaniel6
Multiscale Anisotropic Tissue Biofabrication via Bulk Acoustic Patterning of Cells and Functional Additives in Hybrid Bioinks,"Chansoria, Parth; Asif, Suleman; Gupta, Nithin; Piedrahita, Jorge; Shirwaiker, Rohan A.",Parth Chansoria (pchanso); Suleman Asif (sasif); Jorge Piedrahita (japiedra); Rohan Shirwaiker (rashirwa),10.1002/adhm.202102351,2022,"materials engineering; regenerative ag","Chansoria, Parth; Asif, Suleman; Piedrahita, Jorge; Shirwaiker, Rohan",pchanso; sasif; japiedra; rashirwa
Hydrogel-Forming Microneedles and Applications in Interstitial Fluid Diagnostic Devices,"Aroche, Angelica F.; Nissan, Hannah E.; Daniele, Michael A.",Michael Daniele (mdaniel6); Hannah Nissan (henissan),10.1002/adhm.202401782,2024,"materials engineering; microbes; imaging; regenerative ag; sensing","Daniele, Michael; Nissan, Hannah",mdaniel6; henissan
Ferroelectric Domain Wall Engineering Enables Thermal Modulation in PMN-PT Single Crystals,"Negi, Ankit; Kim, Hwang Pill; Hua, Zilong; Timofeeva, Anastasia; Zhang, Xuanyi; Zhu, Yong; Peters, Kara; Kumah, Divine; Jiang, Xiaoning; Liu, Jun",Jun Liu (jliu38); Ankit Negi (anegi2); Anastasia Timofeeva (aatimofe); Xuanyi Zhang (xzhang75); Yong Zhu (yzhu7); Kara Peters (kjpeters); Divine Kumah (dpkumah); Xiaoning Jiang (xjiang5); HWANG PILL KIM (hkim67),10.1002/adma.202211286,2023,"materials engineering","Liu, Jun; Negi, Ankit; Timofeeva, Anastasia; Zhang, Xuanyi; Zhu, Yong; Peters, Kara; Kumah, Divine; Jiang, Xiaoning; KIM, HWANG PILL",jliu38; anegi2; aatimofe; xzhang75; yzhu7; kjpeters; dpkumah; xjiang5; hkim67
Origin of Ferroelectric Phase in Undoped HfO2 Films Deposited by Sputtering,"Mittmann, Terence; Materano, Monica; Lomenzo, Patrick D.; Park, Min Hyuk; Stolichnov, Igor; Cavalieri, Matteo; Zhou, Chuanzhen; Chung, Ching‐Chang; Jones, Jacob L.; Szyjka, Thomas; Müller, Martina; Kersch, Alfred; Mikolajick, Thomas; Schroeder, Uwe",Chuanzhen Zhou (czhou); Ching-Chang Chung (cchung4); Jacob Jones (jljone21),10.1002/admi.201900042,2019,"materials engineering","Zhou, Chuanzhen; Chung, Ching-Chang; Jones, Jacob",czhou; cchung4; jljone21
Flexible Interconnects for Electronic Textiles,"Agcayazi, Talha; Chatterjee, Kony; Bozkurt, Alper; Ghosh, Tushar K.",Kony Chatterjee (kchatte); Alper Bozkurt (aybozkur); Tushar Ghosh (tghosh); Talha Agcayazi (tmagcaya),10.1002/admt.201700277,2018,"materials engineering","Chatterjee, Kony; Bozkurt, Alper; Ghosh, Tushar; Agcayazi, Talha",kchatte; aybozkur; tghosh; tmagcaya
"Toward Fully Manufacturable, Fiber Assembly-Based Concurrent Multimodal and Multifunctional Sensors for e-Textiles","Kapoor, Ashish; McKnight, Michael; Chatterjee, Kony; Agcayazi, Talha; Kausche, Hannah; Bozkurt, Alper; Ghosh, Tushar K.",Tushar Ghosh (tghosh); Kony Chatterjee (kchatte); Alper Bozkurt (aybozkur),10.1002/admt.201800281,2018,"materials engineering; sensing","Ghosh, Tushar; Chatterjee, Kony; Bozkurt, Alper",tghosh; kchatte; aybozkur
Liquid Metal Coated Textiles with Autonomous Electrical Healing and Antibacterial Properties,"Yang, Jiayi; Nithyanandam, Praneshnandan; Kanetkar, Shreyas; Kwon, Ki Yoon; Ma, Jinwoo; Im, Sooik; Oh, Ji-Hyun; Shamsi, Mohammad; Wilkins, Mike; Daniele, Michael; Kim, Tae-il; Nguyen, Huu Ngoc; Truong, Vi Khanh; Dickey, Michael D.",Jiayi Yang (jyang46); Praneshnandan Nithyanandam (pnithya); Jinwoo Ma (jma23); Sooik Im (sim2); Mike Wilkins (mwilkin2); Michael Daniele (mdaniel6); Michael Dickey (mddickey),10.1002/admt.202202183,2023,"materials engineering","Yang, Jiayi; Nithyanandam, Praneshnandan; Ma, Jinwoo; Im, Sooik; Wilkins, Mike; Daniele, Michael; Dickey, Michael",jyang46; pnithya; jma23; sim2; mwilkin2; mdaniel6; mddickey
Panchromatic All-Polymer Photodetector with Tunable Polarization Sensitivity,"Sen, Pratik; Yang, Ruonan; Rech, Jeromy J.; Feng, Yuanxiang; Ho, Carr Hoi Yi; Huang, Jinsong; So, Franky; Kline, R. Joseph; You, Wei; Kudenov, Michael W.; Brendan T. O'Connor, ",Pratik Sen (psen2); Ruonan Yang (ryang10); Carr Ho (hho3); Franky So (fso); Michael Kudenov (mwkudeno); Brendan O'Connor (btoconno),10.1002/adom.201801346,2018,,"Sen, Pratik; Yang, Ruonan; Ho, Carr; So, Franky; Kudenov, Michael; O'Connor, Brendan",psen2; ryang10; hho3; fso; mwkudeno; btoconno
