Name,degree,weightedDegree,betweenness,closeness,eigenvector,community
Jakob Speight,5.0,5.0,0.0,0.23979441997063142,0.00421044414073804,1556
Farrokh F. Mohammadzadeh,7.0,8.0,100.1158678857492,0.27621786197564274,0.008341304876458226,1556
Nicholas V. Mudrick,4.0,4.0,0.0,0.2670045781556573,0.0038756676784189566,1556
Michelle Taub,4.0,4.0,0.0,0.2670045781556573,0.0038756676784189566,1556
Roger Azevedo,4.0,4.0,0.0,0.2670045781556573,0.0038756676784189566,1556
Amanda Avila Cardoso,11.0,11.0,5967.259073810343,0.30313718210506774,0.014999934096715909,81
Minhan Li,4.0,7.0,0.0,0.26739806779105946,0.004151185922447503,1556
Rafael Luiz da Silva,5.0,7.0,0.5833333333333333,0.26744186046511625,0.004818387516946033,1556
Yaoyao Jia,2.0,2.0,0.0,0.22169427097474884,0.0012040416963841833,1556
Faisal Azam,3.0,5.0,0.0,0.22980579791725303,0.003181664945247134,1556
Rebecca Jones,3.0,3.0,0.0,0.22172437202987103,0.001279646838279634,1556
Isabel Newsome,5.0,5.0,0.0,0.22178459866902078,0.0016423104815067166,1556
FNU Mohit Kumar,2.0,2.0,0.0,0.22169427097474884,0.0011762172534840708,1556
Hong Xiong,7.0,11.0,0.0,0.27621786197564274,0.008972786862393884,1556
Michael J. Aspinwall,1.0,1.0,0.0,0.22181472425971205,0.00015942559568561868,1405
Elizabeth Thomas,2.0,2.0,0.0,0.24611906556141672,0.0008112048311506056,1440
Eduardo Medina Pradas,1.0,1.0,0.0,0.23649529326574945,0.006777331537003577,1685
Dhruv Dineshbhai Ghevariya,1.0,1.0,0.0,0.20167963443250586,0.00007645134771222361,897
James Goethe,3.0,5.0,0.0,0.2576522562322499,0.0016237407288955596,185
Ruixue Wang,1.0,1.0,0.0,0.21458607095926413,0.00017887340373172356,927
Hannah Levenson,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Jaime Collazo,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Rebecca Irwin,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Selina Ruzi,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Elsa Youngsteadt,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Jessica A. Kettenbach,6.0,6.0,0.0,0.2167507300238917,0.00041900897965077203,1287
Adam Howard,5.0,5.0,0.0,0.2422129931770988,0.0015112707673648757,185
Amy Johnson,5.0,5.0,0.0,0.2422129931770988,0.0015112707673648757,185
Huaihai Chen,5.0,5.0,0.0,0.24593373493975904,0.002203065742297808,185
Howard Shew,5.0,5.0,0.0,0.24593373493975904,0.002203065742297808,185
Edgar Oviedo-Rondon,3.0,3.0,0.0,0.23113941967445154,0.001161167088351359,185
Michael Joseph,3.0,3.0,0.0,0.23113941967445154,0.001161167088351359,185
Daniela Patino,3.0,3.0,0.0,0.23113941967445154,0.001161167088351359,185
David Thomas Harris,2.0,2.0,0.0,0.2498470012239902,0.0008900294082823749,879
Jenny Forrester,3.0,3.0,0.0,0.24988523335883703,0.0009388998331880538,879
Huimin Qiao,2.0,2.0,0.0,0.2498470012239902,0.0008859368420422714,879
Nina Balke,2.0,2.0,0.0,0.2498470012239902,0.0008859368420422714,879
Hyunjung Lee,1.0,2.0,0.0,0.6666666666666666,6.06802578066329e-24,1341
Chenmin Yang,35.0,48.0,2573.0377837130454,0.2827705627705628,0.20337649162587249,1221
Katherine W. Jordan,7.0,7.0,0.0,0.23071489121220684,0.0020991982942939794,1405
Tim Kloppe,6.0,6.0,0.0,0.26717931937172773,0.0019263155273063178,1405
Rebecca Whetten,13.0,13.0,2152.7017690390626,0.2786689419795222,0.003220917893722754,1287
