title,authors,nc_state_people,DOI,year,topics,co_author,nc_authors,unity_ids
BAM1/2 receptor kinase signaling drives CLE peptide-mediated formative cell divisions in Arabidopsis roots,"Crook, Ashley D.; Willoughby, Andrew C.; Hazak, Ora; Okuda, Satohiro; VanDerMolen, Kylie R.; Soyars, Cara L.; Cattaneo, Pietro; Clark, Natalie M.; Sozzani, Rosangela; Hothorn, Michael; Hardtke, Christian S.; Nimchuk, Zachary L.",Natalie M. Clark (nmclark2); Ross Sozzani (rsozzan),10.1073/pnas.2018565117,2020,Plant Molecular Biology Research; Plant Reproductive Biology; Plant nutrient uptake and metabolism,"Willoughby, Andrew C.; Hazak, Ora; Okuda, Satohiro; VanDerMolen, Kylie R.; Soyars, Cara L.; Cattaneo, Pietro; Clark, Natalie M.; Sozzani, Rosangela; Hothorn, Michael; Hardtke, Christian S.; Nimchuk, Zachary L.","Clark, Natalie M.; Sozzani, Rosangela",nmclark2; rsozzan
Pest pressure relates to similarity of crops and native plants,"Kennedy, George G.; Huseth, Anders S.",George Kennedy (gkennedy); Anders Huseth (ashuseth),10.1073/pnas.2020945117,2020,Ecology and Vegetation Dynamics Studies; Plant responses to elevated CO2; Genetic and Environmental Crop Studies,"Huseth, Anders S.","Kennedy, George G.; Huseth, Anders S.",gkennedy; ashuseth
Microbe-dependent heterosis in maize,"Wagner, Maggie R.; Tang, Clara; Salvato, Fernanda; Clouse, Kayla M.; Bartlett, Alexandria; Vintila, Simina; Phillips, Laura; Sermons, Shannon; Hoffmann, Mark; Balint-Kurti, Peter J.; Kleiner, Manuel",Peter Balint-Kurti (pjbalint); Fernanda Salvato (fsalvat); Clara Tang (cvtang); Mark Hoffmann (mhoffma3); Manuel Kleiner (mkleine); Margaret R. Wagner (mrwagne3); Alexandria Bartlett (aebartl2); Simina Vintila (svintil); Shannon Sermons (smsermon),10.1073/pnas.2021965118,2021,Plant pathogens and resistance mechanisms; Nematode management and characterization studies; Plant-Microbe Interactions and Immunity,"Tang, Clara; Salvato, Fernanda; Clouse, Kayla M.; Bartlett, Alexandria; Vintila, Simina; Phillips, Laura; Sermons, Shannon; Hoffmann, Mark; Balint-Kurti, Peter J.; Kleiner, Manuel","Balint-Kurti, Peter J.; Salvato, Fernanda; Tang, Clara; Hoffmann, Mark; Kleiner, Manuel; Wagner, Maggie R.; Bartlett, Alexandria; Vintila, Simina; Sermons, Shannon",pjbalint; fsalvat; cvtang; mhoffma3; mkleine; mrwagne3; aebartl2; svintil; smsermon
The persistent threat of emerging plant disease pandemics to global food security,"Ristaino, Jean B.; Anderson, Pamela K.; Bebber, Daniel P.; Brauman, Kate A.; Cunniffe, Nik J.; Fedoroff, Nina V; Finegold, Cambria; Garrett, Karen A.; Gilligan, Christopher A.; Jones, Christopher M.; Martin, Michael D.; MacDonald, Graham K.; Neenan, Patricia; Records, Angela; Schmale, David G.; Tateosian, Laura; Wei, Qingshan",Jean Ristaino (jbr); Laura Tateosian (lgtateos); Qingshan Wei (qwei3); Chris Jones (cmjone25),10.1073/pnas.2022239118,2021,Plant Virus Research Studies; Plant Pathogens and Resistance; Plant Pathogens and Fungal Diseases,"Anderson, Pamela K.; Bebber, Daniel P.; Brauman, Kate A.; Cunniffe, Nik J.; Fedoroff, Nina V; Finegold, Cambria; Garrett, Karen A.; Gilligan, Christopher A.; Jones, Christopher M.; Martin, Michael D.; MacDonald, Graham K.; Neenan, Patricia; Records, Angela; Schmale, David G.; Tateosian, Laura; Wei, Qingshan","Ristaino, Jean B.; Tateosian, Laura; Wei, Qingshan; Gilligan, Christopher A.",jbr; lgtateos; qwei3; cmjone25
Warm nights disrupt transcriptome rhythms in field-grown rice panicles,"Desai, Jigar S.; Lawas, Lovely Mae F.; Valente, Ashlee M.; Leman, Adam R.; Grinevich, Dmitry O.; Jagadish, S. V. Krishna; Doherty, Colleen J.",Colleen Doherty (cjdohert); Jigar Desai (jdesai); Dmitry Grinevich (dogrinev),10.1073/pnas.2025899118,2021,Light effects on plants; Plant Molecular Biology Research; Circadian rhythm and melatonin,"Lawas, Lovely Mae F.; Valente, Ashlee M.; Leman, Adam R.; Grinevich, Dmitry O.; Jagadish, S. V. Krishna; Doherty, Colleen J.","Doherty, Colleen J.; Desai, Jigar S.; Grinevich, Dmitry O.",cjdohert; jdesai; dogrinev
An adaptive teosinte mexicana introgression modulates phosphatidylcholine levels and is associated with maize flowering time,"Barnes, Allison C.; Rodriguez-Zapata, Fausto; Juarez-Nunez, Karla A.; Gates, Daniel J.; Janzen, Garrett M.; Kur, Andi; Wang, Li; Jensen, Sarah E.; Estevez-Palmas, Juan M.; Crow, Taylor M.; Kavi, Heli S.; Pil, Hannah D.; Stokes, Ruthie L.; Knizner, Kevan T.; Aguilar-Rangel, Maria R.; Demesa-Arevalo, Edgar; Skopelitis, Tara; Perez-Limon, Sergio; Stutts, Whitney L.; Thompson, Peter; Chiu, Yu-Chun; Jackson, David; Muddiman, David C.; Fiehn, Oliver; Runcie, Daniel; Buckler, Edward S.; Ross-Ibarra, Jeffrey; Hufford, Matthew B.; Sawers, Ruairidh J. H.; Rellan-Alvarez, Ruben",Peter Thompson (pmthomps); Allison Barnes (acbarne5); Kevan Knizner (ktknizne); Whitney Stutts (wlstutts); Yu-Chun Chiu (ychiu2); David Muddiman (dcmuddim); Rubén Rellán-Álvarez (rrellan); Hannah Pil (hdpil); Ruthie Stokes (rstokes),10.1073/pnas.2100036119,2022,Lipid metabolism and biosynthesis; Genetic Mapping and Diversity in Plants and Animals; Adipose Tissue and Metabolism,"Rodriguez-Zapata, Fausto; Juarez-Nunez, Karla A.; Gates, Daniel J.; Janzen, Garrett M.; Kur, Andi; Wang, Li; Jensen, Sarah E.; Estevez-Palmas, Juan M.; Crow, Taylor M.; Kavi, Heli S.; Pil, Hannah D.; Stokes, Ruthie L.; Knizner, Kevan T.; Aguilar-Rangel, Maria R.; Demesa-Arevalo, Edgar; Skopelitis, Tara; Perez-Limon, Sergio; Stutts, Whitney L.; Thompson, Peter; Chiu, Yu-Chun; Jackson, David; Muddiman, David C.; Fiehn, Oliver; Runcie, Daniel; Buckler, Edward S.; Ross-Ibarra, Jeffrey; Hufford, Matthew B.; Sawers, Ruairidh J. H.; Rellan-Alvarez, Ruben","Thompson, Peter; Barnes, Allison C.; Knizner, Kevan T.; Stutts, Whitney L.; Chiu, Yu-Chun; Jackson, David; Rellan-Alvarez, Ruben; Pil, Hannah D.; Stokes, Ruthie L.",pmthomps; acbarne5; ktknizne; wlstutts; ychiu2; dcmuddim; rrellan; hdpil; rstokes
"Todd R. Klaenhammer, an inspirational food microbiologist who leaves a lasting legacy","Barrangou, Rodolphe; Hill, Colin",Rodolphe Barrangou (rbarran),10.1073/pnas.2107754118,2021,Gut microbiota and health; Probiotics and Fermented Foods; Zoonotic diseases and public health,"Hill, Colin","Barrangou, Rodolphe",rbarran
Variation in upstream open reading frames contributes to allelic diversity in maize protein abundance,"Gage, Joseph L.; Mali, Sujina; McLoughlin, Fionn; Khaipho-Burch, Merritt; Monier, Brandon; Bailey-Serres, Julia; Vierstra, Richard D.; Buckler, Edward S.",Joseph Gage (jlgage),10.1073/pnas.2112516119,2022,RNA and protein synthesis mechanisms; Genomics and Phylogenetic Studies; RNA Research and Splicing,"Mali, Sujina; McLoughlin, Fionn; Khaipho-Burch, Merritt; Monier, Brandon; Bailey-Serres, Julia; Vierstra, Richard D.; Buckler, Edward S.","Gage, Joseph L.",jlgage
Toward inclusive global governance of human genome editing,"Yu, Hanzhi; Xue, Lan; Barrangou, Rodolphe; Chen, Shaowei; Huang, Ying",Rodolphe Barrangou (rbarran),10.1073/pnas.2118540118,2021,CRISPR and Genetic Engineering; Insect Resistance and Genetics; Genetically Modified Organisms Research,"Xue, Lan; Barrangou, Rodolphe; Chen, Shaowei; Huang, Ying","Barrangou, Rodolphe",rbarran
Pest population dynamics are related to a continental overwintering gradient,"Lawton, Douglas; Huseth, Anders S.; Kennedy, George G.; Morey, Amy C.; Hutchison, William D.; Reisig, Dominic D.; Dorman, Seth J.; Dillard, DeShae; Venette, Robert C.; Groves, Russell L.; Adamczyk, John J.; Barbosa Dos Santos, Izailda; Baute, Tracey; Brown, Sebe; Burkness, Eric; Dean, Ashley; Dively, Galen P.; Doughty, Hélène B.; Fleischer, Shelby J.; Green, Jessica; Greene, Jeremy K.; Hamilton, Krista; Hodgson, Erin; Hunt, Thomas; Kerns, David; Leonard, Billy Rogers; Malone, Sean; Musser, Fred; Owens, David; Palumbo, John C.; Paula-Moraes, Silvana; Peterson, Julie A.; Ramirez, Ricardo; Rondon, Silvia I.; Schilder, Tracy L.; Seaman, Abby; Spears, Lori; Stewart, Scott D.; Taylor, Sally; Towles, Tyler; Welty, Celeste; Whalen, Joanne; Wright, Robert; Zuefle, Marion",Anders Huseth (ashuseth); Douglas Lawton (ddlawton); George Kennedy (gkennedy); Dominic Reisig (ddreisig); Seth Dorman (sjdorman); DeShae Dillard (ddillar2),10.1073/pnas.2203230119,2022,Insect-Plant Interactions and Control; Insect Pest Control Strategies; Insect behavior and control techniques,"Huseth, Anders S.; Kennedy, George G.; Morey, Amy C.; Hutchison, William D.; Reisig, Dominic D.; Dorman, Seth J.; Dillard, DeShae; Venette, Robert C.; Groves, Russell L.; Adamczyk, John J.; Barbosa Dos Santos, Izailda; Baute, Tracey; Brown, Sebe; Burkness, Eric; Dean, Ashley; Dively, Galen P.; Doughty, Hélène B.; Fleischer, Shelby J.; Green, Jessica; Greene, Jeremy K.; Hamilton, Krista; Hodgson, Erin; Hunt, Thomas; Kerns, David; Leonard, Billy Rogers; Malone, Sean; Musser, Fred; Owens, David; Palumbo, John C.; Paula-Moraes, Silvana; Peterson, Julie A.; Ramirez, Ricardo; Rondon, Silvia I.; Schilder, Tracy L.; Seaman, Abby; Spears, Lori; Stewart, Scott D.; Taylor, Sally; Towles, Tyler; Welty, Celeste; Whalen, Joanne; Wright, Robert; Zuefle, Marion","Huseth, Anders S.; Lawton, Douglas; Kennedy, George G.; Reisig, Dominic D.; Huseth, Anders S.; Dillard, DeShae",ashuseth; ddlawton; gkennedy; ddreisig; sjdorman; ddillar2
Genomic and epigenetic landscapes drive CRISPR-based genome editing in Bifidobacterium,"Pan, Meichen; Morovic, Wesley; Hidalgo-Cantabrana, Claudio; Roberts, Avery; Walden, Kimberly K. O.; Goh, Yong Jun; Barrangou, Rodolphe",Rodolphe Barrangou (rbarran); Echo Pan (mpan6); Avery Roberts (larober4); Yong-Jun Goh (yjgoh),10.1073/pnas.2205068119,2022,CRISPR and Genetic Engineering; Bacteriophages and microbial interactions; RNA and protein synthesis mechanisms,"Morovic, Wesley; Hidalgo-Cantabrana, Claudio; Roberts, Avery; Walden, Kimberly K. O.; Goh, Yong Jun; Barrangou, Rodolphe","Barrangou, Rodolphe; Pan, Meichen; Roberts, Avery; Goh, Yong Jun",rbarran; mpan6; larober4; yjgoh
CRISPR-based engineering of phages for in situ bacterial base editing,"Nethery, Matthew A.; Hidalgo-Cantabrana, Claudio; Roberts, Avery; Barrangou, Rodolphe",Rodolphe Barrangou (rbarran); Matthew Nethery (manether); Avery Roberts (larober4),10.1073/pnas.2206744119,2022,CRISPR and Genetic Engineering; Bacteriophages and microbial interactions; Transgenic Plants and Applications,"Hidalgo-Cantabrana, Claudio; Roberts, Avery; Barrangou, Rodolphe","Barrangou, Rodolphe; Nethery, Matthew A.; Roberts, Avery",rbarran; manether; larober4
Self-sacrificial tyrosine cleavage by an Fe:Mn oxygenase for the biosynthesis of para-aminobenzoate in Chlamydia trachomatis,"Manley, Olivia M.; Phan, Han N.; Stewart, Allison K.; Mosley, Dontae A.; Xue, Shan; Cha, Lide; Bai, Hongxia; Lightfoot, Veda C.; Rucker, Pierson A.; Collins, Leonard; Williams, Taufika Islam; Chang, Wei-Chen; Guo, Yisong; Makris, Thomas M.",Taufika Williams (tiwillia); Olivia Manley (ommanley); Allison Stewart (akstewar); Lide Cha (lcha); Leonard Collins (lbcolli2); Wei-Chen Chang (wchang6); Thomas Makris (tmmakris); Han Phan (hnphan),10.1073/pnas.2210908119,2022,Porphyrin Metabolism and Disorders; Reproductive tract infections research; Urinary Tract Infections Management,"Phan, Han N.; Stewart, Allison K.; Mosley, Dontae A.; Xue, Shan; Cha, Lide; Bai, Hongxia; Lightfoot, Veda C.; Rucker, Pierson A.; Collins, Leonard; Williams, Taufika Islam; Chang, Wei-Chen; Guo, Yisong; Makris, Thomas M.","Williams, Taufika Islam; Manley, Olivia M.; Stewart, Allison K.; Cha, Lide; Collins, Leonard; Chang, Wei-Chen; Makris, Thomas M.; Phan, Han N.",tiwillia; ommanley; akstewar; lcha; lbcolli2; wchang6; tmmakris; hnphan
Pest species respond differently to farm field size,"Kennedy, George G.; Huseth, Anders S.",Anders Huseth (ashuseth); George Kennedy (gkennedy),10.1073/pnas.2214082119,2022,Plant and animal studies; Plant Parasitism and Resistance; Ecology and Vegetation Dynamics Studies,"Huseth, Anders S.","Huseth, Anders S.; Kennedy, George G.",ashuseth; gkennedy
A perspective on the environmental impact of plant- based protein concentrates and isolates,"Aimutis, William R.; Shirwaiker, Rohan",William Aimutis (wraimuti); Rohan Shirwaiker (rashirwa),10.1073/pnas.2319003121,2024,Agriculture Sustainability and Environmental Impact; Food Waste Reduction and Sustainability; Muscle metabolism and nutrition,"Shirwaiker, Rohan","Aimutis, William R.; Shirwaiker, Rohan",wraimuti; rashirwa
Sustainability of animal-sourced foods and plant-based alternatives,"Qaim, Matin; Barrangou, Rodolphe; Ronald, Pamela C.",Rodolphe Barrangou (rbarran),10.1073/pnas.2400495121,2024,Agriculture Sustainability and Environmental Impact; Food Waste Reduction and Sustainability,"Barrangou, Rodolphe; Ronald, Pamela C.","Barrangou, Rodolphe",rbarran
Characterization of diverse Cas9 orthologs for genome and epigenome editing,"Butterfield, Gabriel L.; Rohm, Dahlia; Roberts, Avery; Nethery, Matthew A.; Rizzo, Anthony J.; Morone, Daniel J.; Garnier, Lisa; Iglesias, Nahid; Barrangou, Rodolphe; Gersbach, Charles A.",Rodolphe Barrangou (rbarran),10.1073/pnas.2417674122,2025,CRISPR and Genetic Engineering; Insect symbiosis and bacterial influences; Mosquito-borne diseases and control,"Rohm, Dahlia; Roberts, Avery; Nethery, Matthew A.; Rizzo, Anthony J.; Morone, Daniel J.; Garnier, Lisa; Iglesias, Nahid; Barrangou, Rodolphe; Gersbach, Charles A.","Barrangou, Rodolphe",rbarran
Iron homeostasis and plant immune responses: Recent insights and translational implications,"Herlihy, John H.; Long, Terri A.; McDowell, John M.",Terri Long (talong),10.1074/jbc.REV120.010856,2020,Plant Micronutrient Interactions and Effects; Plant Stress Responses and Tolerance; Plant responses to water stress,"Long, Terri A.; McDowell, John M.","Long, Terri A.",talong
Irrigation and fertilization.,"Santos, B. M.; Torres-Quezada, E. A.",Emmanuel Torres Quezada (eatorre3),10.1079/9781780641935.0180,2018,Plant Physiology and Cultivation Studies; Irrigation Practices and Water Management; Greenhouse Technology and Climate Control,"Torres-Quezada, E. A.","Torres-Quezada, E. A.",eatorre3
Podosphaera spiraeae (Japanese spiraea powdery mildew),"Moparthi, Swarnalatha; Bradshaw, M",Michael Bradshaw (mjbradsh),10.1079/cabicompendium.57273799,2022,Powdery Mildew Fungal Diseases; Plant Pathogens and Fungal Diseases; Plant Pathogens and Resistance,"Bradshaw, M","Bradshaw, M",mjbradsh
Roller-Crimper Termination for Legume Cover Crops in North Carolina: Impacts on Nutrient Availability to a Succeeding Corn Crop,"Parr, Mary; Grossman, Julie M.; Reberg-Horton, S. Chris; Brinton, Carrie; Crozier, Carl",Julie Marie Grossman (jmgross2); Chris Reberg-Horton (screberg); Carrie Brinton (cmbrinto); Carl Crozier (ccrozier),10.1080/00103624.2013.867061,2014,Agronomic Practices and Intercropping Systems; Soil Carbon and Nitrogen Dynamics; Legume Nitrogen Fixing Symbiosis,"Grossman, Julie M.; Reberg-Horton, S. Chris; Brinton, Carrie; Crozier, Carl","Grossman, Julie M.; Reberg-Horton, S. Chris; Brinton, Carrie; Crozier, Carl",jmgross2; screberg; cmbrinto; ccrozier
Distribution and Fractionation of Zinc and Copper in Poultry Litters Across North Carolina,"Kulesza, Stephanie; Burns, Joseph; Woodley, Alex; Gatiboni, Luciano; Shupe, Maggie; Hicks, Kristin",Stephanie Kulesza (sbkulesz); Alex Woodley (alwoodle); Kristin Hicks (kahicks3); Joseph C. Burns (jburns); Maggie Shupe (mlshupe); Luke Gatiboni (lcolpog),10.1080/00103624.2022.2072866,2022,Animal Nutrition and Physiology; Trace Elements in Health; Plant Micronutrient Interactions and Effects,"Burns, Joseph; Woodley, Alex; Gatiboni, Luciano; Shupe, Maggie; Hicks, Kristin","Kulesza, Stephanie; Woodley, Alex; Hicks, Kristin; Burns, Joseph; Shupe, Maggie; Gatiboni, Luciano",sbkulesz; alwoodle; kahicks3; jburns; mlshupe; lcolpog
Effects of Nitrogen Source and Rate on Soybean Yield and Quality,"Burns, Joseph; Kulesza, Stephanie; Vann, Rachel; Woodley, Alex",Alex Woodley (alwoodle); Stephanie Kulesza (sbkulesz); Rachel Vann (raatwell); Joseph C. Burns (jburns),10.1080/00103624.2022.2118299,2022,Legume Nitrogen Fixing Symbiosis; Soybean genetics and cultivation; Nematode management and characterization studies,"Kulesza, Stephanie; Vann, Rachel; Woodley, Alex","Woodley, Alex; Kulesza, Stephanie; Vann, Rachel; Burns, Joseph",alwoodle; sbkulesz; raatwell; jburns
On the economic lot scheduling problem: stock-out prevention and system feasibility,"Hanson, Brian B.; Hodgson, Thom J.; Kay, Michael G.; King, Russell E.; Thoney-Barletta, Kristin A.",Thom Hodgson (hodgson); Michael Kay (kay); Russell King (king); Kristin Barletta (kathoney),10.1080/00207543.2015.1005246,2015,Supply Chain and Inventory Management; Scheduling and Optimization Algorithms; Advanced Manufacturing and Logistics Optimization,"Hodgson, Thom J.; Kay, Michael G.; King, Russell E.; Thoney-Barletta, Kristin A.","Hodgson, Thom J.; Kay, Michael G.; King, Russell E.; Thoney-Barletta, Kristin A.",hodgson; kay; king; kathoney
Powdery mildew of <i>Chrysanthemum</i> × <i>morifolium</i>: phylogeny and taxonomy in the context of <i>Golovinomyces</i> species on <i>Asteraceae</i> hosts,"Bradshaw, Michael; Braun, Uwe; Götz, Monika; Meeboon, Jamjan; Takamatsu, Susumu",Michael Bradshaw (mjbradsh),10.1080/00275514.2017.1358136,2017,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Fungal Diseases,"Braun, Uwe; Götz, Monika; Meeboon, Jamjan; Takamatsu, Susumu","Bradshaw, Michael",mjbradsh
"Phytophthora acaciae sp. nov., a new species causing gummosis of black wattle in Brazil","Alves, Tatiane C. Albuquerque; Tessmann, Dauri J.; Ivors, Kelly L.; Ristaino, Jean B.; dos Santos, Álvaro F.",Jean Ristaino (jbr),10.1080/00275514.2019.1575685,2019,Plant Pathogens and Resistance; Yeasts and Rust Fungi Studies; Plant Pathogens and Fungal Diseases,"Tessmann, Dauri J.; Ivors, Kelly L.; Ristaino, Jean B.; dos Santos, Álvaro F.","Ristaino, Jean B.",jbr
"Phylogeny and taxonomy of <i>Podosphaera cerasi</i>, sp. nov., and <i>Podosphaera prunicola</i> sensu lato","Moparthi, Swarnalatha; Grove, Gary G.; Pandey, Binod; Bradshaw, Michael; Latham, Suzanne Rooney; Braun, Uwe; Meeboon, Jamjan; Romberg, Megan",Michael Bradshaw (mjbradsh),10.1080/00275514.2019.1611316,2019,Powdery Mildew Fungal Diseases; Plant Pathogens and Fungal Diseases; Yeasts and Rust Fungi Studies,"Grove, Gary G.; Pandey, Binod; Bradshaw, Michael; Latham, Suzanne Rooney; Braun, Uwe; Meeboon, Jamjan; Romberg, Megan","Bradshaw, Michael",mjbradsh
Phylogeny and taxonomy of powdery mildew on <i>Viburnum</i> species,"Bradshaw, Michael; Braun, Uwe; Wang, Serena; Liu, Shuyan; Feng, Jing; Shin, Hyeon-Dong; Choi, Young-Joon; Takamatsu, Susumu; Bulgakov, Timur S.; Tobin, Patrick C.",Michael Bradshaw (mjbradsh),10.1080/00275514.2020.1739508,2020,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Fungal Diseases,"Braun, Uwe; Wang, Serena; Liu, Shuyan; Feng, Jing; Shin, Hyeon-Dong; Choi, Young-Joon; Takamatsu, Susumu; Bulgakov, Timur S.; Tobin, Patrick C.","Bradshaw, Michael",mjbradsh
Phylogeny and taxonomy of powdery mildew caused by <i>Erysiphe</i> species on <i>Corylus</i> hosts,"Bradshaw, Michael; Braun, Uwe; Meeboon, Jamjan; Tobin, Patrick",Michael Bradshaw (mjbradsh),10.1080/00275514.2020.1837568,2021,Powdery Mildew Fungal Diseases; Plant Pathogens and Resistance; Plant Pathogens and Fungal Diseases,"Braun, Uwe; Meeboon, Jamjan; Tobin, Patrick","Bradshaw, Michael",mjbradsh
Phylogeny and taxonomy of powdery mildew caused by <i>Erysiphe</i> species on <i>Lupinus</i> hosts,"Bradshaw, Michael; Braun, Uwe; Götz, Monika; Jurick ΙΙ, Wayne",Michael Bradshaw (mjbradsh),10.1080/00275514.2021.1973287,2021,Powdery Mildew Fungal Diseases; Plant Pathogens and Fungal Diseases; Plant pathogens and resistance mechanisms,"Braun, Uwe; Götz, Monika; Jurick ΙΙ, Wayne","Bradshaw, Michael",mjbradsh
"Phylogeny and taxonomy of <i>Erysiphe</i> spp. on <i>Rhododendron</i>, with a special emphasis on North American species","Tymon, Lydia S.; Bradshaw, Michael; Götz, Monika; Braun, Uwe; Peever, Tobin L.; Edmonds, Robert L.",Michael Bradshaw (mjbradsh),10.1080/00275514.2022.2090219,2022,Powdery Mildew Fungal Diseases; Plant Pathogens and Fungal Diseases; Yeasts and Rust Fungi Studies,"Bradshaw, Michael; Götz, Monika; Braun, Uwe; Peever, Tobin L.; Edmonds, Robert L.","Bradshaw, Michael",mjbradsh
"Phylogeny and taxonomy of the genera of the Erysiphaceae, part 2, Neoerysiphe","Bradshaw, Michael J.; Braun, Uwe; Götz, Monika; Pfister, Donald H.",Michael Bradshaw (mjbradsh),10.1080/00275514.2022.2115420,2022,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Resistance,"Braun, Uwe; Götz, Monika; Pfister, Donald H.","Bradshaw, Michael J.",mjbradsh
"Phylogeny and taxonomy of the genera of Erysiphaceae, part 3: <i>Cystotheca","Bradshaw, Michael; Braun, Uwe; Quijada, Luis; Coombes, Allen J.; Contreras-Paredes, Carlos; Pfister, Donald H.",Michael Bradshaw (mjbradsh),10.1080/00275514.2023.2194172,2023,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Resistance,"Braun, Uwe; Quijada, Luis; Coombes, Allen J.; Contreras-Paredes, Carlos; Pfister, Donald H.","Bradshaw, Michael",mjbradsh
"Phylogeny and taxonomy of the genera of Erysiphaceae, part 4:
            <i>Erysiphe
            (the “Uncinula lineage”)","Bradshaw, Michael; Braun, Uwe; Pfister, Donald H.",Michael Bradshaw (mjbradsh),10.1080/00275514.2023.2230853,2023,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Resistance,"Braun, Uwe; Pfister, Donald H.","Bradshaw, Michael",mjbradsh
"Phylogeny and taxonomy of the genera of Erysiphaceae, part 5:
            <i>Erysiphe
            (the “
            <i>Microsphaera
            lineage” part 1)","Bradshaw, Michael; Braun, Uwe; Quijada, Luis; Pfister, Donald H.",Michael Bradshaw (mjbradsh),10.1080/00275514.2023.2252715,2023,Powdery Mildew Fungal Diseases; Plant Pathogens and Fungal Diseases; Yeasts and Rust Fungi Studies,"Braun, Uwe; Quijada, Luis; Pfister, Donald H.","Bradshaw, Michael",mjbradsh
<i>Peziza nivalis</i> and relatives-spring fungi of wide distribution,"Pfister, Donald H.; LoBuglio, Katherine F.; Bradshaw, Michael; Lebeuf, Renee; Voitk, Andrus",Michael Bradshaw (mjbradsh),10.1080/00275514.2024.2370198,2024,Mycorrhizal Fungi and Plant Interactions; Plant Pathogens and Fungal Diseases; Lichen and fungal ecology,"LoBuglio, Katherine F.; Bradshaw, Michael; Lebeuf, Renee; Voitk, Andrus","Bradshaw, Michael",mjbradsh
"Phylogeny and taxonomy of the genera of Erysiphaceae, part 6: <i>Erysiphe</i> (the ""<i>Microsphaera</i> lineage"" part 2 p.p.)","Bradshaw, Michael; Braun, Uwe; Mitchell, James K.; Crouch, Uma; Lagreca, Scott; Pfister, Donald H.",Michael Bradshaw (mjbradsh); Uma Crouch (utcrouch),10.1080/00275514.2024.2386230,2024,Powdery Mildew Fungal Diseases; Plant Pathogens and Resistance; Yeasts and Rust Fungi Studies,"Braun, Uwe; Mitchell, James K.; Crouch, Uma; Lagreca, Scott; Pfister, Donald H.","Bradshaw, Michael; Crouch, Uma",mjbradsh; utcrouch
"The
            <i>Erysiphe alphitoides
            complex (powdery mildews) – unravelling the phylogeny and taxonomy of an intricate assemblage of species","Bradshaw, Michael; Braun, Uwe; Takamatsu, Susumu; Németh, Márk Z.; Seress, Diána; Pfister, Donald H.",Michael Bradshaw (mjbradsh),10.1080/0028825X.2023.2276913,2023,Powdery Mildew Fungal Diseases; Yeasts and Rust Fungi Studies; Plant Pathogens and Resistance,"Braun, Uwe; Takamatsu, Susumu; Németh, Márk Z.; Seress, Diána; Pfister, Donald H.","Bradshaw, Michael",mjbradsh
Spatial Signal Detection Using Continuous Shrinkage Priors,"Jhuang, An-Ting; Fuentes, Montserrat; Jones, Jacob L.; Esteves, Giovanni; Fancher, Chris M.; Furman, Marschall; Reich, Brian J.",Montserrat Fuentes (fuentes); Jacob Jones (jljone21); Giovanni Esteves (gesteve); Brian Reich (bjreich); Christopher Michael Fancher (cmfanch); Marschall Furman (mlfurman),10.1080/00401706.2018.1546622,2018,Statistical Methods and Inference; Geochemistry and Geologic Mapping; Sparse and Compressive Sensing Techniques,"Fuentes, Montserrat; Jones, Jacob L.; Esteves, Giovanni; Fancher, Chris M.; Furman, Marschall; Reich, Brian J.","Fuentes, Montserrat; Jones, Jacob L.; Esteves, Giovanni; Reich, Brian J.; Fancher, Chris M.; Furman, Marschall",fuentes; jljone21; gesteve; bjreich; cmfanch; mlfurman
Incorporating economies of scale into facility location problems in carpet recycling,"Bucci, M.J.; Woolard, R.; Joines, J.; Thoney, K.; King, R.E.",Jeff Joines (jjoine); Kristin Barletta (kathoney); Russell King (king),10.1080/00405000.2014.890833,2014,Sustainable Supply Chain Management; Recycling and Waste Management Techniques; Advanced Manufacturing and Logistics Optimization,"Woolard, R.; Joines, J.; Thoney, K.; King, R.E.","Joines, J.; Thoney, K.; King, R.E.",jjoine; kathoney; king
An indirect testing approach for characterizing pressure profiles of compression bandages and hosiery,"Kwon, Cassandra; Hegarty, Meghan; Oxenham, William; Thoney-Barletta, Kristin; Grant, Edward; Reid, Lawrence",Cassandra Kwon (chkwon); William Oxenham (woxenham); Kristin Barletta (kathoney); Edward Grant (egrant),10.1080/00405000.2017.1340079,2017,"Sports injuries and prevention; Body Contouring and Surgery; Balance, Gait, and Falls Prevention","Hegarty, Meghan; Oxenham, William; Thoney-Barletta, Kristin; Grant, Edward; Reid, Lawrence","Kwon, Cassandra; Oxenham, William; Thoney-Barletta, Kristin; Grant, Edward",chkwon; woxenham; kathoney; egrant
