title,authors,nc_state_people,DOI,year,topics,co_author,nc_authors,unity_ids
"Sweetpotato Production, Processing, and Nutritional Quality","Truong, V. D.; Avula, R. Y.; Pecota, K. V.; Yencho, G. C.",Craig Yencho (yencho),10.1002/9781119098935.ch35,2018,Postharvest Quality and Shelf Life Management; Potato Plant Research,"Avula, R. Y.; Pecota, K. V.; Yencho, G. C.","Yencho, G. C.",yencho
Charles W. Stuber: Maize Geneticist and Pioneer of Marker-Assisted Selection,"Holland, J.B.; Graham, G.I.; Murphy, J.P.; Senior, M.L.",James Holland (jholland),10.1002/9781119107743.ch01,2015,Genetically Modified Organisms Research; Genetics and Plant Breeding; Wheat and Barley Genetics and Pathology,"Graham, G.I.; Murphy, J.P.; Senior, M.L.","Holland, J.B.",jholland
Charles W. Stuber: Maize Geneticist and Pioneer of Marker-Assisted Selection,"Holland, James; Graham, G. I.; Murphy, J. P.; Lynn, M.",James Holland (jholland); Joseph Murphy (njpm),10.1002/9781119107743.ch1,2015,Genetically Modified Organisms Research; Wheat and Barley Genetics and Pathology; Genetics and Plant Breeding,"Graham, G. I.; Murphy, J. P.; Lynn, M.","Holland, James; Murphy, J. P.",jholland; njpm
In-Plane Alignment in Organic Solar Cells to Probe the Morphological Dependence of Charge Recombination,"Awartani, Omar; Kudenov, Michael W.; Kline, R. Joseph; Brendan T. O'Connor, ",Omar Marwan Awartani (omawarta); Brendan O'Connor (btoconno); Michael Kudenov (mwkudeno),10.1002/adfm.201403377,2015,Organic Electronics and Photovoltaics; Conducting polymers and applications; Perovskite Materials and Applications,"Kudenov, Michael W.; Kline, R. Joseph; Brendan T. O'Connor,","Awartani, Omar; Brendan T. O'Connor; Kudenov, Michael W.",omawarta; btoconno; mwkudeno
Ferroelectric Materials: Domain Wall Displacement is the Origin of Superior Permittivity and Piezoelectricity in BaTiO3at Intermediate Grain Sizes (Adv. Funct. Mater. 7/2014),"Ghosh, Dipankar; Sakata, Akito; Carter, Jared; Thomas, Pam A.; Han, Hyuksu; Nino, Juan C.; Jones, Jacob L.",Jacob Jones (jljone21),10.1002/ADFM.201470042,2014,Acoustic Wave Resonator Technologies; Material Properties and Applications; Ferroelectric and Piezoelectric Materials,"Sakata, Akito; Carter, Jared; Thomas, Pam A.; Han, Hyuksu; Nino, Juan C.; Jones, Jacob L.","Jones, Jacob L.",jljone21
Declamped Piezoelectric Coefficients in Patterned 70/30 Lead Magnesium Niobate-Lead Titanate Thin Films,"Keech, Ryan; Ye, Linghan; Bosse, James L.; Esteves, Giovanni; Guerrier, Jonathon; Jones, Jacob L.; Kuroda, Marcelo A.; Huey, Bryan D.; Trolier-McKinstry, Susan",Jacob Jones (jljone21),10.1002/ADFM.201605014,2017,Ferroelectric and Piezoelectric Materials; Acoustic Wave Resonator Technologies; Multiferroics and related materials,"Ye, Linghan; Bosse, James L.; Esteves, Giovanni; Guerrier, Jonathon; Jones, Jacob L.; Kuroda, Marcelo A.; Huey, Bryan D.; Trolier-McKinstry, Susan","Jones, Jacob L.",jljone21
"Neuro-Nano Interfaces: Utilizing Nano-Coatings and Nanoparticles to Enable Next-Generation Electrophysiological Recording, Neural Stimulation, and Biochemical Modulation","Young, Ashlyn T.; Cornwell, Neil; Daniele, Michael A.",Michael Daniele (mdaniel6),10.1002/ADFM.201700239,2017,Neuroscience and Neural Engineering; Photoreceptor and optogenetics research; EEG and Brain-Computer Interfaces,"Cornwell, Neil; Daniele, Michael A.","Daniele, Michael A.",mdaniel6
Flexible Inorganic Ferroelectric Thin Films for Nonvolatile Memory Devices,"Yu, Hyeonggeun; Chung, Ching-Chang; Shewmon, Nate; Ho, Szuheng; Carpenter, Joshua H.; Larrabee, Ryan; Sun, Tianlei; Jones, Jacob L.; Ade, Harald; O'Connor, Brendan T.; So, Franky",Franky So (fso); Harald Ade (hwade); Brendan O'Connor (btoconno); Jacob Jones (jljone21),10.1002/ADFM.201700461,2017,Ferroelectric and Negative Capacitance Devices; Advanced Sensor and Energy Harvesting Materials; Advanced Memory and Neural Computing,"Chung, Ching-Chang; Shewmon, Nate; Ho, Szuheng; Carpenter, Joshua H.; Larrabee, Ryan; Sun, Tianlei; Jones, Jacob L.; Ade, Harald; O'Connor, Brendan T.; So, Franky","So, Franky; Ade, Harald; O'Connor, Brendan T.; Jones, Jacob L.",fso; hwade; btoconno; jljone21
"Neuro Interfaces: Neuro-Nano Interfaces: Utilizing Nano-Coatings and Nanoparticles to Enable Next-Generation Electrophysiological Recording, Neural Stimulation, and Biochemical Modulation (Adv. Funct. Mater. 12/2018)","Young, Ashlyn T.; Cornwell, Neil; Daniele, Michael A.",Michael Daniele (mdaniel6),10.1002/ADFM.201870079,2018,Neuroscience and Neural Engineering,"Cornwell, Neil; Daniele, Michael A.","Daniele, Michael A.",mdaniel6
Connecting the Multiscale Structure with Macroscopic Response of Relaxor Ferroelectrics,"Otoničar, Mojca; Bradeško, Andraž; Fulanović, Lovro; Kos, Tomaž; Uršič, Hana; Benčan, Andreja; Cabral, Matthew J.; Henriques, Alexandra; Jones, Jacob L.; Riemer, Lukas; Damjanovic, Dragan; Dražić, Goran; Malič, Barbara; Rojac, Tadej",Alexandra Henriques (ajhenri3); Jacob Jones (jljone21); Matthew J. Cabral (mjcabral),10.1002/adfm.202006823,2020,Ferroelectric and Piezoelectric Materials; Multiferroics and related materials; Microwave Dielectric Ceramics Synthesis,"Bradeško, Andraž; Fulanović, Lovro; Kos, Tomaž; Uršič, Hana; Benčan, Andreja; Cabral, Matthew J.; Henriques, Alexandra; Jones, Jacob L.; Riemer, Lukas; Damjanovic, Dragan; Dražić, Goran; Malič, Barbara; Rojac, Tadej","Henriques, Alexandra; Jones, Jacob L.; Cabral, Matthew J.",ajhenri3; jljone21; mjcabral
Engineering Next Generation Cyclized Peptide Ligands for Light-Controlled Capture and Release of Therapeutic Proteins,"Prodromou, Raphael; Day, Kevin N.; Saberi-Bosari, Sahand; Schneible, John D.; Mabe, Matthew D.; San Miguel, Adriana; Daniele, Michael A.; Pozdin, Vladimir; Menegatti, Stefano",Raphael Prodromou (rprodro); Kevin Day (knday); John Schneible (jdschnei); Adriana San Miguel (asanmig); Michael Daniele (mdaniel6); Vladimir Pozdin (vapozdin); Stefano Menegatti (smenega),10.1002/adfm.202101410,2021,Chemical Synthesis and Analysis; Click Chemistry and Applications; RNA Interference and Gene Delivery,"Day, Kevin N.; Saberi-Bosari, Sahand; Schneible, John D.; Mabe, Matthew D.; San Miguel, Adriana; Daniele, Michael A.; Pozdin, Vladimir; Menegatti, Stefano","Prodromou, Raphael; Day, Kevin N.; Schneible, John D.; San Miguel, Adriana; Daniele, Michael A.; Pozdin, Vladimir; Menegatti, Stefano",rprodro; knday; jdschnei; asanmig; mdaniel6; vapozdin; smenega
Emerging Wearable Sensors for Plant Health Monitoring,"Lee, Giwon; Wei, Qingshan; Zhu, Yong",Qingshan Wei (qwei3); Yong Zhu (yzhu7); Giwon Lee (glee8),10.1002/adfm.202106475,2021,Insect and Arachnid Ecology and Behavior; Biosensors and Analytical Detection,"Wei, Qingshan; Zhu, Yong","Wei, Qingshan; Zhu, Yong; Lee, Giwon",qwei3; yzhu7; glee8
